_key	name
3681491	Kinetocodium danae
3681902	Perigonella sulfura
3681046	Cunina tenella
3681100	Pegantha pantheon
3674013	Peachia koreni
3681891	Nudiclava
183875	Nymphonella tapetis
3520924	Ophiomegistus
3539093	Riccardoella
5127650	Crotalomorpha camini
113499	Histiostomata sp.
2949408	Zanclopus cephalodisci
5755707	Echinophilus
2962815	Echinositus
237824	Brachinus
4659330	Lebistina
856193	Orthotrichia
777444	Chalcoela
4230921	Zenodochium
4486228	Endopsylla endogena
4397224	Oidematops ferrugineus
572027	Tetanura
4396740	Euthycera vockerothi
162441	Sepedon
4444930	Hyperechia
5320648	Mallophaga
1011001	Calliphora
578164	Cochliomyia macellaria
4389910	Melanomya cyrtoneurina
4388282	Melinda mindanaoa
4474325	Trissocladius heterocerus
4413181	Batrachomyia
842738	Philornis
195843	Odinia
4371697	Wohlfahrtia balassogloi
5132025	Discoplana
3665195	Acholades asteris
3665417	Paravortex
399457	Notentera ivanovi
779395	Seison sp.
2941285	Proales sordida
2941702	Albertia
2941707	Balatro
2876254	Phylliroe
4979126	Ophiuricola cynips
15237	Haplosyllis
4988055	Spinther

3629891	Encheliophis sagamianus	
4633226	Trichocephala
3592038	Hugotdiplogaster neozelandica
920946	Strongyloididae
991422	Iotonchiidae
4680811	Amheterozercon
3539138	Lawrencarus
3539455	Speleognathopsis
608658	Parasitengona
830511	Pterygosomatidae
477615	Chelonoidis
4703837	Teinocheylus
3538937	Cheyletiella
3538932	Ornithocheyletia
4682430	Metacheyletia
4697520	Nihelia
3520792	Criokeron
435891	Pyemotidae
6288355	Vespariae
451819	Poecilostomatoida
828781	Archinotodelphyidae
5724453	Auriculostoma
623486	Teredininae
1011568	Xylariophilus
171139	Anommatium
678075	Apocrita
269707	Anoplura
4607093	Rhynchophorinus
3674193	Stephanauge tuberculata
139064	Cryptochetidae
1054361	Tachiniscinae
4390257	Amenia
4368902	Eginia
4349612	Acanthophorides
561601	Megaselia sp. A
5721133	Prosimnia blackae
5737071	Tripneustes gratilla gratilla
4958502	Cephalopyge trematoides
504425	Coralliophilidae